summary,job_cat,timespent
Membuat Dashboard pendidikan page remaja dan dewasa dengan keterampilan teknologi informasi dan komputer TIK,Development,8.0
add flagging timespant,Development,12.0
Sprint review bigbuilder,Development,3.0
Peserta workshop Hazrul,Development,8.0
Meeting update Dokumen Produk BigVision,Technical Support,2.0
Membuat Dokumen VMS Kaltim,Technical Support,2.0
explore new library from golang video analytics,Development,6.0
Meeting for enhance showcase,Development,2.0
slicing modal form addedit user bigbuilder,Development,2.0
Mapping parser tidak menunjukkan status secara akurat,Development,8.0
Transfer Knowledge BigOne,Development,8.0
Discuss Penggunaan BigScience di Project,Project Manager,3.0
Pengecekan data WS SHIPMENT Dashboard pertamina,Project Manager,8.0
Meeting Troubleshoting Issue Emotion Analytics dan SNA di BigSocial,Technical Support,2.0
Revisi ppt produk knowledge BigBox,Technical Support,4.0
 Meeting Bigvision X KIK,"Sales, Marketing & Community",2.0
 Meeting Biro Kesra Prov Jateng,"Sales, Marketing & Community",6.0
 Meeting Probis KEK Denpasar,"Sales, Marketing & Community",3.0
 Meeting Proposal Teknis Nasmoco,"Sales, Marketing & Community",6.0
 Meeting User need Kabupaten Mentawai,"Sales, Marketing & Community",8.0
 Discuss Proposal Pemkot Balikpapan,"Sales, Marketing & Community",4.0
Integrasi Demografi Berdasarkan Jenis Kelamin,Development,8.0
API Demografi Berdasarkan Kategori Umur,Data,8.0
Slicing Status Pendidikan,Development,8.0
Create BE python custom delimiter,Data,8.0
regsosek selasa  juni   stand up regsosek deliverables support launching,Project Manager,1.0
regsosek hitung progress scurve,Project Manager,1.0
other senin  juni   coursera modul ,Project Manager,3.0
bpkp check user manual dan uat bigquery,Project Manager,2.0
other  transfer knowledge with ae baru,Project Manager,2.0
polda kaltim rekap reimburse kaltim,Project Manager,3.0
regsosek qa apps pemadan di env baru,Project Manager,2.0
regsosek reporting instalasi ke cgs,Project Manager,3.0
POC Prepare account BigSocial for POC,Development,1.0
Membuat Kumpulan Temuan Security dari Modul Hasil Pentest,Technical Support,3.0
Workshop serah terima bigone dan bigenvelope day,Development,5.0
Slicing  Unverified email on page signup,Development,8.0
Membuat Question Jumlah wisatawan nusantara menurut provinsi asal,Development,8.0
Endpoint Riwayat Pendidikan,Development,4.0
Diskusi keperluan rebranding  Diskusi keperluan sertifikasi dengan TCUC,"Sales, Marketing & Community",8.0
 Meeting solusi TWC,"Sales, Marketing & Community",3.0
 Meeting Solusi LGBT Sosial Media Pemprov Sumatera Barat,"Sales, Marketing & Community",8.0
 Update Penyesuaian SPH Pemkab Mentawai,"Sales, Marketing & Community",4.0
 Discuss prepare BGN  BSSN,Development,6.0
 Meeting Kospin Jasa Pekalongan,"Sales, Marketing & Community",2.0
        Meeting Rebranding Website AI,Development,1.0
deployment to production,Development,3.0
API Rekomendasi potensi bahaya banjir tingkat Awas,Data,8.0
Testing Custom React  Social Media Analytics,Development,0.5
Meeting Opportunity FR Gate masuk,Technical Support,2.0
QA Functionality BigEnvelope Interopt,Development,8.0
Support SN Talent BSP ,Finance,1.0
libur Hari lahir pancasila,Project Manager,8.0
Slicing Status Bekerja,Development,8.0
API Demografi Berdasarkan Jenis Kelamin,Data,8.0
Integrasi Range Salary,Development,8.0
corcomm weekly check gap data,Project Manager,2.0
other ngurus jira mas gemp dan bunda ismi,Project Manager,1.0
regsosek selasa  juni   discuss integrasi data loker scrapping py with bigspider,Project Manager,2.0
regsosek cek jira regsosek,Project Manager,1.0
regsosek eskalasi issue driver postgre yang belum terinstall,Project Manager,0.25
other kamis  juni   discuss with renita terkait product,Project Manager,2.0
regsosek create PPT aplikasi pemadanan  interopt,Project Manager,2.0
regsosek rabu  juni   paparan dashboard lowongan kerja,Project Manager,1.0
corcomm selasa  juni   discuss tambahan media sea today dan penyebab karena mesin,Project Manager,2.0
regsosek cek jira task deployment all team,Project Manager,1.0
corcomm senin  juni   discuss security enhancement bigsocial,Project Manager,2.0
regsosek jumat  juni   discuss with sigma terkait hardening security,Project Manager,2.0
pasuruan ttd bastbaut,Project Manager,0.5
Discuss issue flow big envelope BNPB,Development,2.0
Create API jenis pengadaan penyedia,Development,1.0
API  Create API counter on page signup,Development,8.0
add limiter API login bigsocial,Development,4.0
slicing modal add member admin,Development,8.0
Develop new card jenis pengadaan penyedia,Development,2.0
 Prepare Delivery Polda Kalimantan Timur VMS,"Sales, Marketing & Community",2.0
 Workshop Digitalisasi Pemprov Kalimatan Timur,"Sales, Marketing & Community",8.0
API API Service Image to text,Data,4.0
        BigVision  Prepare showcase BigVision,Development,1.0
Data Extraction WinS TREG  News Data,Development,5.0
set global state,Development,8.0
API Rekomendasi potensi bahaya banjir tingkat Siaga,Data,0.166666667
Modelling Jumlah Kelas Guru dan Siswa,Data,8.0
SQL Editor  Terjadi masalah ketika menggunakan query generator pada sql editor hasil yang di dapat tidak ditampilkan pada editor,Development,8.0
Dashboard App  Terjadi error kita pengguna mencoba melakukan update dalam tampilan list,Development,8.0
Stored XSS in Test API,Development,4.0
Transfer Knowledge BigEnvelope,Development,8.0
Create Test Pages  Connection,Development,2.0
Collecting  dataset Plat Electric,Technical Support,8.0
Diksusi EKYC terbaru Bigvision,Technical Support,3.0
Backend update JSON API face liveness,Development,5.0
QA Functionality BigQuery,Development,8.0
 Juni Update design Login,Design,4.0
Try to create setup backend php standalone,Development,3.0
tambahan item dod pb bsp,Finance,2.0
Support Meeting Roadmap Product,"Sales, Marketing & Community",4.0
FU Pemindahan Server,"Sales, Marketing & Community",2.0
Requirement Gathering Development BigEnvelope ,Project Manager,8.0
Sprint Planning Bigenvelope ,Project Manager,5.0
Slicing Klasifikasi Perusahaan,Development,8.0
regsosek selasa  juni   discuss with tim produk terkait issue bigbuilder,Project Manager,2.0
lumajang kamis  juni   discuss progress delivery with lumajang,Project Manager,1.0
regsosek senin  juni   brainstorm pembuatan dashboard bigbuilder,Project Manager,2.0
regsosek cek bigbuilder loker custom by arifin,Project Manager,1.0
pasuruan tracking order ncx,Project Manager,0.25
orther jumat  juni   start chapter  coursera,Project Manager,3.0
corcomm eskalasi worker timeout untuk mesin nlp,Project Manager,0.5
regsosek eskalasi issue spark initiate failed di regsosek,Project Manager,1.0
regsosek eskalasi issue kenapa dr mesin gpu  ga bisa koneksi ke ,Project Manager,0.5
polda kaltim follow up ke am untuk pemasangan titik vms,Project Manager,0.5
regsosek check jira regsosek input task mas gemps,Project Manager,1.0
corcomm solving issue mesin     sentiment yang down dan berakibat ke crawling digital news yang mati,Project Manager,8.0
Update API  add details on jenis pengadaan,Development,3.0
Membuat Dashboard pendidikan page penyelesaian pendidikan anak,Development,8.0
Testing porduct project bnpb,Development,0.5
Planning Sprint  Week  Fadhyla,Design,4.0
Checkpoin BigQuery dgn Mas Rinaldy,Technical Support,1.0
 Meeting Pemprov Jateng,"Sales, Marketing & Community",2.0
Slicing Status Keluarga,Development,8.0
polda kaltim edit ppt sesuaikan dengan paket yang diambil oleh polda,Project Manager,3.0
lumajang ttd bastbaut,Project Manager,0.5
Slicing  Counter on page signup,Development,8.0
meeting fixing pentest bigsocial,Development,2.0
add sample postgis bnpb,Development,3.0
Membuat Question Laju pertumbuhan PDB pertenaga kerjatingak pertumbuhan PDB rill perorang bekerja pertahun,Development,8.0
 Workshop  pembuatan Tagline  Testimoni  meeting monev ecatalog,"Sales, Marketing & Community",12.0
 Meeting Dinas sosial Prov Jateng,"Sales, Marketing & Community",2.0
 Discuss metadata catalog BPKP,Development,3.0
Sebagai users saya ingin melakukan search dan shorting berdasarkan last modified dan alphabetical pada virtual table list,Development,4.0
API Rekomendasi potensibahaya banjir tingkat Siaga,Data,1.0
Page Editor  Filter date relative belum bisa melakukan unselect,Development,3.0
IDOR Edit API,Development,4.0
Peseta workshop Gia,Development,4.0
POC Input keyword and topic,Development,1.0
Meeting Implementasi EKYC,Technical Support,3.0
other senin  juni   create project charter peer  peer assignment,Project Manager,3.0
other cek issue bigaction kkp,Project Manager,2.0
add radio button on chart jenis  metode page analisa lkpp,Development,4.0
Develop new card jenis  metode pengadaan swakelola,Development,3.0
Integrasi  Unregistered email on page forgotpassword,Development,4.0
Daily Meeting BKKBN NTB,Development,3.0
Membuat Question Tingakat setengah pengangguran berdasarkan provinsi,Development,8.0
 Juni penyesuaian design create common sql rest api,Design,8.0
meeting biglake checkpoint,Development,1.0
Meeting Mitra DBT dg Metranet,Technical Support,8.0
support  fu update data pb,Finance,4.0
 Discuss Usecase BNPB,Development,3.0
regsosek check user manual pemadanan dan interopt before send to bu annissa,Project Manager,1.0
mentawai check figma mentawai,Project Manager,1.0
mentawai create timeline delivery,Project Manager,8.0
regsosek senin  juni   discuss action plan imbas gamas,Project Manager,2.0
Explorasi Responsive Design Rebranding Website,Design,8.0
add flagging timestamp,Development,4.0
Kordinasi budget marketing untuk video marketing  pengisian monev ecatalog,"Sales, Marketing & Community",8.0
Meeting Pertamina Patra Niaga Jateng,"Sales, Marketing & Community",3.0
 BigVision   redesign BigVision showcase homepage,Development,7.0
Testing web baru bigvision,Technical Support,3.0
Testing VMS dan Facepad Kaltim,Technical Support,1.0
Review Rekon Sementara BImasakti,Technical Support,2.0
Backend create API insert SDK bimasakti,Development,5.0
Breakdown Feature BigEnvelope ,Project Manager,5.0
regsosek follow up integrasi data loker ke bigspider,Project Manager,1.0
polda kaltim sabtu  juni   discuss persiapan kaltim,Project Manager,1.0
corcomm rabu  juni   qa new keyword input,Project Manager,2.0
polda kaltim create bastbaut,Project Manager,2.0
Update API  add totalpengadaaan on jenis  metode pengadaan,Development,4.0
Support fixing big envelope postgress,Development,3.0
Backend create API async face profiling for innocent,Development,8.0
Setup prettier for auto format,Development,4.0
Submit Update juni pb mnet,Finance,1.0
 Meeting BPJSTK Kanwil Jateng,"Sales, Marketing & Community",2.0
 Meeting Delivery Pasuruan,"Sales, Marketing & Community",2.0
 Workshop Ensuring List of Project LoP CFUE Q ,"Sales, Marketing & Community",8.0
 Meeting Delivery Penyesuaian User Need Pemkab Mentawai,"Sales, Marketing & Community",4.0
 Meeting Penyesuaian SPH  Delivery Sekda Karimun,"Sales, Marketing & Community",8.0
 FGD  Pembahasan Use Case Banjir,Development,4.0
Feature  Add error handling no data ketika dashboardnya muncul ngga ada,Development,8.0
API Menampilkan hasil prediksi wilayah banjir wilayah DAS Bengawan Solo,Data,8.0
regsosek create konten banner untuk pemandan  interopt,Project Manager,3.0
other senin  juni  coursera modul  chapter ,Project Manager,2.0
regsosek rabu  juni   stand up,Project Manager,1.0
mentawai cek bigstore,Project Manager,1.0
explore nifi ingest data from other database,Development,8.0
 Juni Penyesuaian Design Home BigEnvelope,Design,2.0
Meeting Polda Kaltim VMS,Technical Support,2.0
Testing endtoend Facepad VMS Polda Kaltim,Technical Support,4.0
meeting persiapan present balikpapan,Development,3.0
Peseta workshop Putra,Development,4.0
 Juni Slicing Improve Design Login,Development,2.0
Discuss Roadmap BigEnvelope,Project Manager,5.0
Meeting dengan Vendor Metranet,Technical Support,8.0
Daily Rebranding Website,Technical Support,2.0
Integrasi Top  Perusahaan,Development,8.0
Link Catalog Service bisa klikable,Development,4.0
lumajang discuss internal terkait perubahan titik lumajang dan additional bigsocial,Project Manager,1.0
corcomm monitoring penambahan data corcomm,Project Manager,1.0
lumajang draft bastbaut,Project Manager,1.0
corcomm analisis vulnerability asessment,Project Manager,1.0
regsosek jumat  juni   stand up,Project Manager,1.0
Pembuatan Daftar Gambar Petunjuk Pelaksanaan dan Petunjuk Teknis data Analytics,Technical Support,8.0
interaction component group management yang ada di dalam table,Development,6.0
Meeting Billcomp Issue dgn tim CX Telkom,Technical Support,4.0
API Peta dan lokasi aksi penanggulangan bencana,Data,8.0
Pembuatan Dokumen Juklak Juknis,Technical Support,8.0
explore repo bigenvelope,Development,8.0
Check problem dan solusikan masalah data OpenLO tidak naik ke dashboard pertamina,Project Manager,7.0
API Status Bekerja,Data,8.0
polda kaltim check bigsocial polda kaltim,Project Manager,1.0
Slicing Pagination feature on page topics,Development,8.0
Update API  add details on pengadaan umum,Development,4.0
Host  widget pada host tidak ikut berubah date range nya,Development,4.0
Testing tiket bug yang terdapat pada waiting for review sprint ,Development,4.0
Update data talent all chapter dex,Finance,2.0
Revisi Ppt PT Yogya Grup,Technical Support,2.0
Meeting Marketing Apilogy dgn tim CRM,Technical Support,4.0
 Meeting Pemkab Semarang,"Sales, Marketing & Community",2.0
 Meeting PHRI Jogja,Development,4.0
Report On Demand KPU  Mei   Juni,Data,8.0
Penyesuaian hasil respon chatbot ujawaban pointer,Development,6.0
Take down Bar Checklist diatas hanya wording Add reference,Development,1.0
polda kaltim senin  juni   brainstorm kesiapan polda kaltim,Project Manager,2.0
regsosek list pain problem dan penjelasan tentang aplikasi pemadanan sent to crm,Project Manager,0.5
regsosek check script video pemadanan,Project Manager,0.5
mentawai request server CKAN,Project Manager,2.0
regsosek senin  juni   discuss cara akses ssh tunneling with mang made,Project Manager,1.0
Modelling Prediksi Jumlah Siswa  Penduduk Usia Sekolah di Jawa Barat,Data,8.0
Slicing  Unregistered email on page forgotpassword,Development,4.0
API Rekomendasi potensibahaya banjir tingkat Waspada,Data,1.0
Modelling Jumlah Tingkat Sekolah,Data,8.0
IDOR Delete Connection,Development,4.0
Setup vitest testing library,Development,4.0
polda kaltim ekalasi kebutuhan ke kaltim ke mas akas,Project Manager,0.5
other update ppt sales aepm,Project Manager,1.0
Integrasi HealthTooltip pada list host,Development,6.0
belum terdapat message No result found ketika menggunakan search result sql editor,Development,5.0
Workshop bigenvelope day,Development,5.0
Develop new card jenis pengadaan swakelola,Development,2.0
development crowd detection with new library golang bigvision cont,Development,7.0
Metting daily sprint bigenvelope,Development,2.0
Testing tiket waiting for review sprint ,Development,3.0
Testing Custom React  Natural,Development,0.5
Pengecekan problem data OPEN LO didashboard Pertamina tidak naik,Project Manager,8.0
Update data treg  treg,Finance,1.0
 Meeting People Movement dengan Polda Kepulauan Riau,"Sales, Marketing & Community",4.0
        LegionUI  Sharing Instant Handon feature,Development,1.0
Slicing Kualifikasi Pekerjaan,Development,8.0
Scrap From kalibrr,Data,8.0
Fixing bug  Respon Hallo tiba dibawah,Development,8.0
regsosek bikin timeline restore after gamas pdn,Project Manager,2.0
Modelling Kondisi Kelas Siswa,Data,12.0
QA Pagination feature on page topics,Development,8.0
interaksi modal ketika superadmin dan admin mengklik button add member,Development,6.0
fixing connection postgres,Development,5.0
Membuat Question jumlah perusahaan jasa K menurut bidang PJK tahun ,Development,8.0
Membuat datamart PKAU Pelaksanaan,Data,5.0
 Meeting Solusi PHRI Jogja,"Sales, Marketing & Community",2.0
Ingest from Satu Data Bencana,Data,8.0
Modelling Prediksi Sertifikasi Guru di Jawa Barat,Data,8.0
Modelling Kondisi Lab Sekolah,Data,8.0
Discuss Feature Bigenvelope BigBox,Project Manager,8.0
API Status Pendidikan,Data,8.0
Feature  Add error handling no data ketika dashboardnya muncul ngga ada data,Development,8.0
Integrasi Status Keluarga,Development,8.0
Integrasi Top  Industri,Development,8.0
bpkp check bigspider bpkp as functionality,Project Manager,2.0
regsosek kamis  juni   check readiness biglakehouse untuk demo kunjungan,Project Manager,1.0
regsosek input jira redeploy pasca gamas,Project Manager,2.0
polda kaltim recap activity jumat curhat kaltim,Project Manager,0.333333333
Integrasi  Unverified email on page signup,Development,8.0
Backend export data user free bigsocial,Development,5.0
slcing modal add group,Development,2.0
Meeting biglake and update sprint,Development,4.0
 Juni Penyesuaian Design Dashboard BigEnvelope,Design,4.0
Meeting pembahasan pengisian JIRA,Technical Support,2.0
Diskusi Dataset Plat Kendaaran Listrik,Technical Support,1.0
IDOR Delete API,Development,4.0
FE  Update integrasi response message,Development,4.0
Testing tiket waiting for review,Development,3.0
Routing sidebar admin,Development,1.0
Fixing error multi language on testimony section,Development,2.0
corcomm senin  juni   discuss monitoring data mental dan ip block kbb with tim crawling,Project Manager,1.0
corcomm senin  juni   analisis severity hasil va terbaru,Project Manager,1.0
Create list daftar hadir Rapat data MHEWS,Technical Support,2.0
Check SNA data availability,Development,2.0
 Meeting pemkot solo,"Sales, Marketing & Community",2.0
 Discuss bahan BGN,Development,4.0
Creating report exploration,Development,0.5
API Menampilkan batas DAS Bengawan Solo,Data,8.0
Backend fixing bug service blink eye bimasakti bigvision,Development,4.0
Backend setup deployment monitoringbigvisionid,Development,5.0
lumajang create timeline delivery lumajang,Project Manager,2.0
regsosek cek dashboard data desil regsosek,Project Manager,1.0
regsosek update status  bikin ceklis ke grup whats app,Project Manager,0.5
Create API jenis pengadaan swakelola,Development,1.0
Peserta workshop dhyla,Design,4.0
 Workshop Digitalisasi Pemkot Balikpapan,"Sales, Marketing & Community",8.0
 Contact Us   Slicing Design,Development,6.0
Ingest Hasil Survey Kerentanan dan Kapasitas Tsunami Skala Desa Program IDRIP,Data,8.0
Ingest Raw Data Kajian Risiko Bencana Tsunami Skala Desa Program IDRIP,Data,8.0
Akun Pemohon Draft fitur Hapus tidak berfungsi saat di klik tidak ada aksi apapun,Development,1.0
Create Materi Opportunity Kalimantan,Technical Support,4.0
Updating dokumen ISO,Technical Support,2.0
Testing web dashboard baru BigVision,Technical Support,1.0
meeting deployment executive monitoring bigvision,Development,2.0
Cuti cuti bersama idul adha,Development,8.0
QA Custom Dashboard Bansos,Development,8.0
Spark Initiate Failed on spark,Data,8.0
regsosek check jira input task dashboard builder,Project Manager,1.0
regsosek rabu  juni   discuss persiapan untuk kunjungan ke itdri,Project Manager,2.0
pasuruan cek readiness bigmarket  bigview,Project Manager,1.0
regsosek ssl wildcard to tim sigma,Project Manager,2.0
meeting keperluan rebranding Pencarian vendor,"Sales, Marketing & Community",10.0
mentawai input jira task mentawai,Project Manager,1.0
Take Video Content VMS,Technical Support,2.0
Meeting update vms kalimantan timur,Technical Support,2.0
Create Dokumen UAT VMS Kalimantan,Technical Support,3.0
Create email admin Kaltim for showcase,Technical Support,0.5
Mencari dataset Plat Elektrik sebanyak ,Technical Support,8.0
kemenag jira input timespent all talent,Project Manager,1.0
polda kaltim follow up logo dan email polda kaltim dan server staging,Project Manager,0.25
Handle not IP registered,Development,2.0
regsosek follow up terkait api bigbuilder ngga bisa consume dari bigenvelope,Project Manager,2.0
mentawai rabu  juni  discuss brainstorm figma mentawai,Project Manager,1.0
Planning Sprint  Week  Putra,Development,2.0
corcomm ganti pointing be       ,Project Manager,8.0
corcomm input jira task sna exploration  security enhancement,Project Manager,1.0
Update script big builder stg,Development,2.0
 Suppot media publikasi  suppoer DMM pembuatan cotent AI,"Sales, Marketing & Community",10.0
pasuruan rabu  juni   discuss solving issue febe bigmarket to kang randyrizal,Project Manager,2.0
Piloting Install Agent SRE spbu coco,Data,3.0
API Status Keluarga,Data,8.0
corcomm monitoring penambahan data image to text,Project Manager,2.0
Modelling Sumber Air Bersih,Data,8.0
lumajang kamis  juni   check point sebelum present ke lumajang,Project Manager,1.0
Backend fixing SDK bimasakti to minimal delay,Development,5.0
Generate data DKI,Data,2.0
Review ads  editing ads,"Sales, Marketing & Community",8.0
Pembuatan MOM Diskusi Data Goverment dan Sampel Data Pospay Untuk Pembuatan Usecase CLV  Churn Posindo,Technical Support,8.0
regsosek kirim user manual pemadanan  interopt ke bu annissa,Project Manager,0.5
Create API Public,Development,3.0
Pertanggungan IF Juni ,Technical Support,8.0
Collect ID LOP,Technical Support,4.0
 Meeting Kebutuhan Dokumentasi Polda Riau Daratan,"Sales, Marketing & Community",4.0
Loading Generating Text Chatbot,Development,6.0
interaction ketika kolom maps di hover editdelete  list author untuk superadmin,Development,8.0
Meeting Persiapan renewal ISO untuk Selasa  Juli ,Technical Support,2.0
polda kaltim bikin grup vms dan bigsocial with user am dan tim,Project Manager,1.0
create standard benchmarking performance bigenvelope,Development,3.0
Get API User,Development,3.0
Paparan BigView Tracking Tourism Pemkab Lumajang,Technical Support,2.0
 Meeting RDR TR ,"Sales, Marketing & Community",6.0
 Brief PoC LPS,Development,3.0
 Meeting BPKP Pak Sigit,Development,3.0
regsosek senin  juli   cek all platform pasca gamas,Project Manager,6.0
Modelling Sumber Listrik,Data,8.0
 Submit solusi Nasmoco,"Sales, Marketing & Community",4.0
pasuruan draft bastbaut,Project Manager,1.0
QA Search by ID feature on page topics,Development,8.0
Slicing Search by ID feature on page topics,Development,8.0
membuat interaksi modal ketika superadmin mengklik dropdown button more dan rename,Development,4.0
Hide default football player when no data,Development,1.5
Develop new card metode pengadaaan umum,Development,2.0
Endpoint Riwayat Pangkat,Development,4.0
Update Image testimony person,Development,1.0
other list dod image to text for putri,Project Manager,1.0
regsosek rabu  juni   standup,Project Manager,1.0
other senin  juni  threat Modelling Tools  fase Pertama dari Tribe INS,Project Manager,1.0
Create API metode pengadaan umum,Development,1.0
Meeting Juskeb Jamdatun,Technical Support,8.0
slicing modal addedit new map,Development,8.0
kominfo pdsi fu terkait ppt yang di share latest untuk issue pending matters,Project Manager,1.0
